Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2	Status	NB
увеличились	увеличиться	V	past,pl	ON	
на	на	PR		ON	
170				OFF	
миллиардов	миллиард	S	gen,m,pl	ON	
долларов	доллар	S	gen,m,pl	ON	
и	и	CONJ		ON	
приближаются	приближаться	V	3p,pl,pres	ON	
к	к	PR		ON	
отметке	отметка	S	dat,f,sg	ON	
в	в	PR		ON	
полтриллиона	полтриллиона	S	acc,m,sg	ON	
долларов	доллар	S	gen,m,pl	ON	
США	сша	S	gen,pl	ON	
-				OFF	
точнее	точно	ADV	comp	ON	
,				OFF	
478				OFF	
,				OFF	
6				OFF	
,				OFF	
по	по	PR		ON	
последним	последний	A	dat,pl	ON	
данным	данные	S	dat,pl	ON	#
(				OFF	
чуть-чуть	чуть-чуть	ADV		ON	
понижение	понижение	S	n,nom,sg	ON	
произошло	произойти	V	n,past,sg	ON	
в	в	PR		OFF	PR_COMPLEX
связи	связь	S	f,loc,sg	OFF	PR_COMPLEX
с	с	PR		OFF	PR_COMPLEX
изменением	изменение	S	ins,n,sg	ON	
курса	курс	S	gen,m,sg	ON	
доллара	доллар	S	gen,m,sg	ON	
)				OFF	
.				OFF	
Это	это	ADV		ON	
вершина	вершина	S	f,nom,sg	ON	
тесного	тесный	A	gen,n,sg	ON	#
и	и	CONJ		ON	
плодотворного	плодотворный	A	gen,n,sg	ON	#
сотрудничества	сотрудничество	S	gen,n,sg	ON	
между	между	PR		ON	
нашими	наш	APRO	ins,pl	OFF	pro&num
странами	страна	S	f,ins,pl	ON	
.				OFF	
Мы	мы	SPRO	1p,nom,pl	OFF	pro&num
еще	еще	ADV		ON	
некоторое	некоторый	APRO	acc,n,sg	OFF	pro&num
время	время	S	acc,n,sg	ON	
разговариваем	разговаривать	V	1p,pl,pres	ON	
с	с	PR		ON	
Епископом	епископ	S	ins,m,sg	ON	
Лукианом	лукиан	S	ins,m,sg	ON	
,				OFF	
потом	потом	ADV		OFF	pro&num
он	он	SPRO	3p,m,nom,sg	OFF	pro&num
провожает	провожать	V	3p,pres,sg	ON	
меня	я	SPRO	1p,acc,sg	OFF	pro&num
до	до	PR		ON	
ворот	ворота	S	gen,pl	ON	
Резиденции	резиденция	S	f,gen,sg	ON	
,				OFF	
откуда	откуда	ADV		OFF	pro&num
навстречу	навстречу	PR		ON	#
нам	мы	SPRO	1p,dat,pl	OFF	pro&num
идет	идти	V	3p,pres,sg	ON	
многочисленный	многочисленный	A	m,nom,sg	ON	
и	и	CONJ		ON	
многоязычный	многоязычный	A	m,nom,sg	ON	
поток	поток	S	m,nom,sg	ON	
людей	человек	S	gen,m,pl	ON	
,				OFF	
желающих	желать	V	act,gen,partcp,pl,pres	ON	
осмотреть	осмотреть	V	inf	ON	
экспонаты	экспонат	S	acc,m,pl	ON	
Православного	православный	A	gen,m,sg	ON	
Музея	музей	S	gen,m,sg	ON	
и	и	CONJ		ON	
посетить	посетить	V	inf	ON	
Кафедральный	кафедральный	A	acc,m,sg	ON	
Собор	собор	S	acc,m,sg	ON	
.				OFF	
Многотысячный	многотысячный	A	m,nom,sg	ON	
коллектив	коллектив	S	m,nom,sg	ON	
"				OFF	
Газпрома	газпром	S	gen,m,sg	ON	
"				OFF	
денно	денно	ADV		OFF	ADV_COMPLEX
и	и	CONJ		OFF	ADV_COMPLEX
нощно	нощно	ADV		OFF	ADV_COMPLEX
трудился	трудиться	V	m,past,sg	ON	
над	над	PR		ON	
поставленной	поставить	V	f,ins,partcp,pass,past,sg	ON	
задачей	задача	S	f,ins,sg	ON	
.				OFF	
Там	там	ADV		OFF	pro&num
оставалось	оставаться	V	n,past,sg	ON	
еще	еще	ADV		ON	
60				OFF	
сербских	сербский	A	gen,pl	ON	
сел	село	S	gen,n,pl	ON	
.				OFF	
Мы	мы	SPRO	1p,nom,pl	OFF	pro&num
шли	идти	V	past,pl	ON	
в	в	PR		ON	
бой	бой	S	acc,m,sg	ON	
вместе	вместе	ADV		ON	
и	и	CONJ		ON	
готовы	готовый	A	brev,nom,pl	ON	
были	быть	V	past,pl	ON	
пролить	пролить	V	inf	ON	
кровь	кровь	S	acc,f,sg	ON	
друг	друг	S	m,nom,sg	OFF	SPRO_COMPLEX
за	за	PR		ON	
друга	друг	S	acc,m,sg	OFF	SPRO_COMPLEX
.				OFF	
-				OFF	
Какие	какой	APRO	nom,pl	OFF	pro&num
впечатления	впечатление	S	n,nom,pl	ON	
у	у	PR		ON	
вас	вы	SPRO	2p,gen,pl	OFF	pro&num
остались	остаться	V	past,pl	ON	
от	от	PR		ON	
Москвы	москва	S	f,gen,sg	ON	
в	в	PR		ON	
1972				OFF	
году	год	S	loc,m,sg	ON	
?				OFF	
-				OFF	
По	по	PR		ON	
удивительному	удивительный	A	dat,n,sg	ON	#
стечению	стечение	S	dat,n,sg	ON	
обстоятельств	обстоятельство	S	gen,n,pl	ON	
ваш	ваш	APRO	m,nom,sg	OFF	pro&num
олимпийский	олимпийский	A	m,nom,sg	ON	
триумф	триумф	S	m,nom,sg	ON	
идеально	идеально	ADV		ON	
совпал	совпасть	V	m,past,sg	ON	
по	по	PR		ON	
времени	время	S	dat,n,sg	ON	
с	с	PR		ON	
внедрением	внедрение	S	ins,n,sg	ON	
современных	современный	A	gen,pl	ON	
поролоновых	поролоновый	A	gen,pl	ON	
матов	мат	S	gen,m,pl	ON	
.				OFF	
Все	весь	APRO	acc,n,sg	OFF	pro&num
поселение	поселение	S	acc,n,sg	ON	
можно	можно	ADV		ON	
обойти	обойти	V	inf	ON	
неторопливым	неторопливый	A	ins,m,sg	ON	
шагом	шаг	S	ins,m,sg	ON	
за	за	PR		ON	
10				OFF	
минут	минута	S	f,gen,pl	ON	
.				OFF	
Стабильное	стабильный	A	n,nom,sg	ON	
взаимодействие	взаимодействие	S	n,nom,sg	ON	
в	в	PR		ON	
нефтегазовом	нефтегазовый	A	loc,m,sg	ON	
секторе	сектор	S	loc,m,sg	ON	
является	являться	V	3p,pres,sg	ON	
общим	общий	A	ins,m,sg	ON	
вкладом	вклад	S	ins,m,sg	ON	
России	россия	S	f,gen,sg	ON	
и	и	CONJ		ON	
Венгрии	венгрия	S	f,gen,sg	ON	
в	в	PR		ON	
обеспечение	обеспечение	S	acc,n,sg	ON	
энергобезопасности	энергобезопасность	S	f,gen,sg	ON	
Европы	европа	S	f,gen,sg	ON	
.				OFF	
При	при	PR		ON	
этом	это	SPRO	loc,n,sg	OFF	pro&num
работа	работа	S	f,nom,sg	ON	
над	над	PR		ON	
реализаций	реализация	S	f,gen,pl	ON	
проектов	проект	S	gen,m,pl	ON	
жёстко	жестко	ADV		ON	
увязывалась	увязываться	V	f,past,sg	ON	
с	с	PR		ON	
достижением	достижение	S	ins,n,sg	ON	
на	на	PR		ON	
каждом	каждый	APRO	loc,m,sg	OFF	pro&num
этапе	этап	S	loc,m,sg	ON	
целевых	целевой	A	gen,pl	ON	
показателей	показатель	S	gen,m,pl	ON	
.				OFF	
Наверняка	наверняка	ADV		ON	
техника	техника	S	f,nom,sg	ON	
была	быть	V	f,past,sg	ON	
бы	бы	ADV		ON	
уже	уже	ADV		ON	
не	не	ADV		ON	
та	тот	APRO	f,nom,sg	OFF	pro&num
.				OFF	
Я	я	SPRO	1p,nom,sg	OFF	pro&num
имею	иметь	V	1p,pres,sg	ON	
в	в	PR		ON	
виду	вид	S	loc,m,sg	ON	
наше	наш	APRO	acc,n,sg	OFF	pro&num
сотрудничество	сотрудничество	S	acc,n,sg	ON	
в	в	PR		OFF	PR_COMPLEX
сфере	сфера	S	f,loc,sg	OFF	PR_COMPLEX
энергетики	энергетика	S	f,gen,sg	ON	
-				OFF	
первый	первый	ANUM	m,nom,sg	OFF	pro&num
блок	блок	S	m,nom,sg	ON	
Сангтудинской	сангтудинский	A	f,gen,sg	ON	#
ГЭС	гэс	S	f,gen,sg	ON	
станции	станция	S	f,gen,sg	ON	
запущен	запустить	V	m,nom,partcp,pass,past,sg	ON	
в	в	PR		ON	
январе	январь	S	loc,m,sg	ON	
.				OFF	
В	в	PR		OFF	PR_COMPLEX
рамках	рамка	S	f,loc,pl	OFF	PR_COMPLEX
национального	национальный	A	gen,m,sg	ON	
проекта	проект	S	gen,m,sg	ON	
13				OFF	
миллионов	миллион	S	gen,m,pl	ON	
человек	человек	S	gen,m,pl	ON	
смогли	смочь	V	past,pl	ON	
пройти	пройти	V	inf	ON	
диспансеризацию	диспансеризация	S	acc,f,sg	ON	
,				OFF	
а	а	CONJ		ON	
60				OFF	
миллионам	миллион	S	dat,m,pl	ON	
были	быть	V	past,pl	ON	
сделаны	сделать	V	brev,nom,partcp,pass,past,pl	ON	
прививки	прививка	S	f,nom,pl	ON	
.				OFF	
Оба	оба	NUM	m,nom	OFF	pro&num
работают	работать	V	3p,pl,pres	ON	
на	на	PR		ON	
влиятельную	влиятельный	A	acc,f,sg	ON	
и	и	CONJ		ON	
известную	известный	A	acc,f,sg	ON	
адвокатскую	адвокатский	A	acc,f,sg	ON	
контору	контора	S	acc,f,sg	ON	
«				OFF	
Bullie				OFF	
Brake				OFF	
&				OFF	
Desmay				OFF	
»				OFF	
и	и	CONJ		ON	
успешно	успешно	ADV		ON	
продвигаются	продвигаться	V	3p,pl,pres	ON	
по	по	PR		ON	
служебной	служебный	A	dat,f,sg	ON	
лестнице	лестница	S	dat,f,sg	ON	
.				OFF	
Некоторые	некоторый	APRO	nom,pl	OFF	pro&num
люди	человек	S	m,nom,pl	ON	
испытывают	испытывать	V	3p,pl,pres	ON	
панические	панический	A	acc,pl	ON	
атаки	атака	S	acc,f,pl	ON	
,				OFF	
которые	который	APRO	nom,pl	OFF	pro&num
характеризуются	характеризовать	V	3p,pl,pres	ON	
чрезвычайно	чрезвычайно	ADV		ON	
сильным	сильный	A	ins,n,sg	ON	
чувством	чувство	S	ins,n,sg	ON	
страха	страх	S	gen,m,sg	ON	
.				OFF	
Они	они	SPRO	3p,nom,pl	OFF	pro&num
отнюдь	отнюдь	ADV		ON	
не	не	ADV		ON	
редки	редкий	A	brev,nom,pl	ON	
.				OFF	
К	к	PR		ON	
третьей	третий	ANUM	dat,f,sg	OFF	pro&num
неделе	неделя	S	dat,f,sg	ON	
пациенты	пациент	S	m,nom,pl	ON	
показывали	показывать	V	past,pl	ON	
заметное	заметный	A	acc,n,sg	ON	
улучшение	улучшение	S	acc,n,sg	ON	
настроения	настроение	S	gen,n,sg	ON	
в	в	PR		OFF	PR_COMPLEX
отличие	отличие	S	acc,n,sg	OFF	PR_COMPLEX
от	от	PR		OFF	PR_COMPLEX
принимавших	принимать	V	act,gen,partcp,past,pl	ON	
плацебо	плацебо	S	acc,n,sg	ON	
.				OFF	
Высокий	высокий	A	m,nom,sg	ON	
уровень	уровень	S	m,nom,sg	ON	
эстрогена	эстроген	S	gen,m,sg	ON	
и	и	CONJ		ON	
низкий	низкий	A	m,nom,sg	ON	
прогестерона	прогестерон	S	gen,m,sg	ON	
могут	мочь	V	3p,pl,pres	ON	
привести	привести	V	inf	ON	
к	к	PR		ON	
предменструальному	предменструальный	A	dat,m,sg	ON	
синдрому	синдром	S	dat,m,sg	ON	
(				OFF	
ПМС	ПМС	S	dat,m,sg	ON	
)				OFF	
с	с	PR		ON	
цикличной	цикличный	A	f,ins,sg	ON	
депрессией	депрессия	S	f,ins,sg	ON	
и	и	CONJ		ON	
беспокойством	беспокойство	S	ins,n,sg	ON	
.				OFF	
Иногда	иногда	ADV		OFF	pro&num
колебания	колебание	S	n,nom,pl	ON	
настроения	настроение	S	gen,n,sg	ON	
и	и	CONJ		ON	
депрессия	депрессия	S	f,nom,sg	ON	
могут	мочь	V	3p,pl,pres	ON	
быть	быть	V	inf	ON	
результатом	результат	S	ins,m,sg	ON	
слишком	слишком	ADV		ON	
большого	большой	A	gen,m,sg	ON	
стресса	стресс	S	gen,m,sg	ON	
и	и	CONJ		ON	
истощения	истощение	S	gen,n,sg	ON	
надпочечников	надпочечник	S	gen,m,pl	ON	
.				OFF	
Первое	первый	ANUM	n,nom,sg	OFF	pro&num
описание	описание	S	n,nom,sg	ON	
этого	этот	APRO	gen,m,sg	OFF	pro&num
члена	член	S	gen,m,sg	ON	
семейства	семейство	S	gen,n,sg	ON	
перечных	перечный	A	gen,pl	ON	
появилось	появиться	V	n,past,sg	ON	
в	в	PR		ON	
западных	западный	A	loc,pl	ON	
странах	страна	S	f,loc,pl	ON	
после	после	PR		ON	
знаменитых	знаменитый	A	gen,pl	ON	
рейдов	рейд	S	gen,m,pl	ON	
капитана	капитан	S	gen,m,sg	ON	
Джеймса	Джеймс	S	gen,m,sg	ON	
Кука	Кук	S	gen,m,sg	ON	
в	в	PR		ON	
Южные	южный	A	acc,pl	ON	
моря	море	S	acc,n,pl	ON	
.				OFF	
Согласно	согласно	PR		ON	
данным	данные	S	dat,pl	ON	
Национального	национальный	A	gen,n,sg	ON	
аутистического	аутистический	A	gen,n,sg	ON	
общества	общество	S	gen,n,sg	ON	
частота	частота	S	f,nom,sg	ON	
аутизма	аутизм	S	gen,m,sg	ON	
сейчас	сейчас	ADV		ON	
может	мочь	V	3p,pres,sg	ON	
превышать	превышать	V	inf	ON	
1				OFF	
случай	случай	S	acc,m,sg	ON	
на	на	PR		ON	
каждые	каждый	APRO	acc,pl	OFF	pro&num
100				OFF	
детей	ребенок	S	gen,m,pl	ON	
.				OFF	
Конечная	конечный	A	f,nom,sg	ON	
цель	цель	S	f,nom,sg	ON	
математики	математика	S	f,gen,sg	ON	
—				OFF	
вообще	вообще	ADV		ON	
избавиться	избавиться	V	inf	ON	
от	от	PR		ON	
необходимости	необходимость	S	f,gen,sg	ON	
о	о	PR		ON	
чем-либо	что-либо	SPRO	loc,n	OFF	pro&num
думать	думать	V	inf	ON	
.				OFF	
В	в	PR		ON	
том-то	то-то	SPRO	loc,n,sg	OFF	pro&num
и	и	CONJ		ON	
дело	дело	S	n,nom,sg	ON	
,				OFF	
что	что	CONJ		ON	
,				OFF	
кроме	кроме	PR		ON	
действительных	действительный	A	gen,pl	ON	
чисел	число	S	gen,n,pl	ON	
,				OFF	
достаточно	достаточно	ADV		ON	
изобрести	изобрести	V	inf	ON	
только	только	ADV		ON	
одно	один	ANUM	acc,n,sg	OFF	pro&num
число	число	S	acc,n,sg	ON	
—				OFF	
квадратный	квадратный	A	acc,m,sg	ON	
корень	корень	S	acc,m,sg	ON	
из	из	PR		ON	
—1				OFF	
,				OFF	
после	после	PR		ON	
этого	это	SPRO	gen,n,sg	OFF	pro&num
можно	можно	ADV		ON	
решить	решить	V	inf	ON	
любое	любой	APRO	acc,n,sg	OFF	pro&num
алгебраическое	алгебраический	A	acc,n,sg	ON	
уравнение	уравнение	S	acc,n,sg	ON	
]				OFF	
Возможные	возможный	A	nom,pl	ON	
состояния	состояние	S	n,nom,pl	ON	
электронов	электрон	S	gen,m,pl	ON	
определяются	определять	V	3p,pl,pres	ON	
различными	различный	A	ins,pl	ON	
энергетическими	энергетический	A	ins,pl	ON	
подуровнями	подуровень	S	ins,m,pl	ON	
,				OFF	
которые	который	APRO	nom,pl	OFF	pro&num
носят	носить	V	3p,pl,pres	ON	
название	название	S	acc,n,sg	ON	
орбиталей	орбиталь	S	f,gen,pl	ON	
.				OFF	
Указанный	указать	V	m,nom,partcp,pass,past,sg	ON	
выше	высоко	ADV	comp	ON	
вызов	вызов	S	m,nom,sg	ON	
функции	функция	S	f,gen,sg	ON	
вернет	вернуть	V	3p,pres,sg	ON	
все	весь	APRO	acc,pl	OFF	pro&num
SNMP				OFF	
объекты	объект	S	acc,m,pl	ON	
из	из	PR		ON	
SNMP				OFF	
агента	агент	S	gen,m,sg	ON	
,				OFF	
напущенного	напустить	V	gen,m,partcp,pass,past,sg	ON	
на	на	PR		ON	
локальном	локальный	A	loc,m,sg	ON	
хосте	хост	S	loc,m,sg	ON	
.				OFF	
Эта	этот	APRO	f,nom,sg	OFF	pro&num
группа	группа	S	f,nom,sg	ON	
включает	включать	V	3p,pres,sg	ON	
щелочные	щелочной	A	acc,pl	ON	
металлы	металл	S	acc,m,pl	ON	
натрий	натрий	S	acc,m,sg	ON	
(				OFF	
Na				OFF	
)				OFF	
и	и	CONJ		ON	
калий	калий	S	acc,m,sg	ON	
(				OFF	
К				OFF	
),				OFF	
щелочноземельные	щелочноземельный	A	acc,pl	ON	
металлы	металл	S	acc,m,pl	ON	
магний	магний	S	acc,m,sg	ON	
(				OFF	
Мg				OFF	
)				OFF	
и	и	CONJ		ON	
кальций	кальций	S	acc,m,sg	ON	
(				OFF	
Са				OFF	
)				OFF	
.				OFF	
Это	это	SPRO	n,nom,sg	OFF	pro&num
сразу	сразу	ADV		ON	
говорит	говорить	V	3p,pres,sg	ON	
нам	мы	SPRO	1p,dat,pl	OFF	pro&num
,				OFF	
что	что	SPRO	n,nom	OFF	pro&num
такое	такой	APRO	n,nom,sg	OFF	pro&num
момент	момент	S	m,nom,sg	ON	
количественно	количественно	ADV		ON	
.				OFF	
Собачка	собачка	S	f,nom,sg	ON	
нужна	нужный	A	brev,f,nom,sg	ON	
к	к	PR		ON	
празднику	праздник	S	dat,m,sg	ON	
!				OFF	
Он	он	SPRO	3p,m,nom,sg	OFF	pro&num
полагал	полагать	V	m,past,sg	ON	
,				OFF	
что	что	CONJ		ON	
римлян	римлянин	S	acc,m,pl	ON	
сгубило	сгубить	V	n,past,sg	ON	
избыточное	избыточный	A	n,nom,sg	ON	
честолюбие	честолюбие	S	n,nom,sg	ON	
.				OFF	
ЕНЛ-1	ЕНЛ-1	S	acc,f,pl	ON	
получают	получать	V	3p,pl,pres	ON	
общенациональные	общенациональный	A	nom,pl	ON	
и	и	CONJ		ON	
крупные	крупный	A	nom,pl	ON	
региональные	региональный	A	nom,pl	ON	
газеты	газета	S	f,nom,pl	ON	
и	и	CONJ		ON	
телекомпании	телекомпания	S	f,nom,pl	ON	
,				OFF	
агентства	агентство	S	n,nom,pl	ON	
,				OFF	
иностранные	иностранный	A	nom,pl	ON	
дипломатические	дипломатический	A	nom,pl	ON	
представительства	представительство	S	n,nom,pl	ON	
в	в	PR		ON	
России	Россия	S	f,loc,sg	ON	
.				OFF	
Телевизионные	телевизионный	A	nom,pl	ON	
Web-технологии	Web-технология	S	f,nom,pl	ON	
развиваются	развиваться	V	3p,pl,pres	ON	
в	в	PR		ON	
нашей	наш	APRO	f,loc,sg	OFF	pro&num
стране	страна	S	f,loc,sg	ON	
с	с	PR		ON	
некоторым	некоторый	APRO	ins,n,sg	OFF	pro&num
опозданием	опоздание	S	ins,n,sg	ON	
.				OFF	
Недели	неделя	S	f,gen,sg	ON	
через	через	PR		ON	
				OFF	
две-три	два-три	NUM	acc,f	OFF	pro&num
,				OFF	
не	не	ADV		ON	
раньше	рано	ADV	comp	ON	
.				OFF	
Такой	такой	APRO	f,gen,sg	OFF	pro&num
птицы	птица	S	f,gen,sg	ON	
не	не	ADV		ON	
водилось	водиться	V	n,past,sg	ON	
в	в	PR		ON	
здешних	здешний	A	loc,pl	ON	
местах	место	S	loc,n,pl	ON	
.				OFF	
Здесь	здесь	ADV		OFF	pro&num
он	он	SPRO	3p,m,nom,sg	OFF	pro&num
не	не	ADV		ON	
отказал	отказать	V	m,past,sg	ON	
себе	себя	SPRO	dat	OFF	pro&num
в	в	PR		ON	
удовольствии	удовольствие	S	loc,n,sg	ON	
заранее	заранее	ADV		ON	
злорадно	злорадно	ADV		ON	
вообразить	вообразить	V	inf	ON	
,				OFF	
как	как	ADV		OFF	pro&num
будет	быть	V	3p,pres,sg	ON	
сходить	сходить	V	inf	ON	
со	со	PR		ON	
сцены	сцена	S	f,gen,sg	ON	
премьер	премьер	S	m,nom,sg	ON	
Борзых	Борзых	S	m,nom,sg	ON	
.				OFF	
Булькнуло	булькнуть	V	n,past,sg	ON	
,				OFF	
екнуло	екнуть	V	n,past,sg	ON	
,				OFF	
порскнуло	порскнуть	V	n,past,sg	ON	
,				OFF	
ахнуло	ахнуть	V	n,past,sg	ON	
-				OFF	
лучше	хорошо	ADV	comp	ON	
гляди	глядеть	V	2p,imper,sg	ON	
!				OFF	
-				OFF	
сзади	сзади	ADV		ON	
,				OFF	
наверху	наверху	ADV		ON	
,				OFF	
вниз	вниз	ADV		ON	
головой	голова	S	f,ins,sg	ON	
,				OFF	
пропало	пропасть	V	n,past,sg	ON	
,				OFF	
нету	нету	ADV		ON	
!				OFF	
И	и	CONJ		ON	
Пэт	Пэт	S	f,nom,sg	ON	
выла	выть	V	f,past,sg	ON	
от	от	PR		ON	
злости	злость	S	f,gen,sg	ON	
:				OFF	
ее	ее	APRO		OFF	pro&num
Грегори	Грегори	S	m,nom,sg	ON	
--				OFF	
ее	ее	APRO		OFF	pro&num
лучезарный	лучезарный	A	m,nom,sg	ON	
муж	муж	S	m,nom,sg	ON	
--				OFF	
был	быть	V	m,past,sg	ON	
тоже	тоже	ADV		ON	
во	во	PR		ON	
власти	власть	S	f,loc,sg	ON	
этого	этот	APRO	gen,m,sg	OFF	pro&num
всемогущего	всемогущий	A	gen,m,sg	ON	
микрооргазма	микрооргазм	S	gen,m,sg	ON	
.				OFF	
Он	он	SPRO	3p,m,nom,sg	OFF	pro&num
засыпал	засыпать	V	m,past,sg	ON	
,				OFF	
ухватившись	ухватиться	V	ger,past	ON	
за	за	PR		ON	
ее	ее	APRO		OFF	pro&num
пальцы	палец	S	acc,m,pl	ON	
,				OFF	
и	и	CONJ		ON	
,				OFF	
оставляя	оставлять	V	ger,pres	ON	
его	он	SPRO	3p,acc,m,sg	OFF	pro&num
,				OFF	
надо	надо	ADV		ON	
было	быть	V	n,past,sg	ON	
с	с	PR		ON	
величайшей	величайший	A	f,ins,sg	ON	
осторожностью	осторожность	S	f,ins,sg	ON	
высвобождать	высвобождать	V	inf	ON	
руку	рука	S	acc,f,sg	ON	
,				OFF	
чтобы	чтобы	CONJ		ON	
он	он	SPRO	3p,m,nom,sg	OFF	pro&num
не	не	ADV		ON	
проснулся	проснуться	V	m,past,sg	ON	
с	с	PR		ON	
криком	крик	S	ins,m,sg	ON	
ужаса	ужас	S	gen,m,sg	ON	
.				OFF	
--				OFF	
Хотел	хотеть	V	m,past,sg	ON	
бы	бы	ADV		ON	
добавить	добавить	V	inf	ON	
разумное	разумный	A	acc,n,sg	ON	
:				OFF	
как	как	ADV		OFF	pro&num
может	мочь	V	3p,pres,sg	ON	
инженер	инженер	S	m,nom,sg	ON	
что-нибудь	что-нибудь	SPRO	acc	OFF	pro&num
портить	портить	V	inf	ON	
?				OFF	
Не	не	ADV		ON	
сотвори	сотворить	V	2p,imper,sg	ON	
себе	себя	SPRO	dat	OFF	pro&num
кумира	кумир	S	acc,m,sg	ON	
,				OFF	
Но	но	CONJ		ON	
лишь	лишь	ADV		ON	
люби	любить	V	2p,imper,sg	ON	
,				OFF	
как	как	CONJ		ON	
Я	я	SPRO	1p,nom,sg	OFF	pro&num
люблю	любить	V	1p,pres,sg	ON	
--				OFF	
В	в	PR		ON	
твоем	твой	APRO	loc,n,sg	OFF	pro&num
подобье	подобье	S	loc,n,sg	ON	
--				OFF	
Образ	образ	S	acc,m,sg	ON	
Мира	мир	S	gen,m,sg	ON	
,				OFF	
И	и	CONJ		ON	
не	не	ADV		ON	
скорби	скорбеть	V	2p,imper,sg	ON	
